DateTime,Value
2027-06-04,14.978753036127014
2027-06-05,15.742096835380652
2027-06-06,14.576909340353115
2027-06-07,13.709791676587251
2027-06-08,15.270071077430572
2027-06-09,16.22220786129614
2027-06-10,15.949686121401957
2027-06-11,17.04174182192985
2027-06-12,17.03113786239354
2027-06-13,16.47221084624949
2027-06-14,8.755296925024965
2027-06-15,8.590309287025692
2027-06-16,8.885565723910434
2027-06-17,8.98022631909405
2027-06-18,9.287234887360466
2027-06-19,10.643010576179064
2027-06-20,10.892603414372712
2027-06-21,10.724155900324332
2027-06-22,11.19623629705102
2027-06-23,11.099840600417329
2027-06-24,11.775806516674058
2027-06-25,11.210269848769386
2027-06-26,12.28931089370258
2027-06-27,10.032880512194122
2027-06-28,13.147430971582038
2027-06-29,13.149320187443095
2027-06-30,13.643319491914514
2027-07-01,13.447974087954512
2027-07-02,8.547827108095525
2027-07-03,14.503297720689456
2027-07-04,16.919119488495923
2027-07-05,15.51342557862882
2027-07-06,14.460463849525553
2027-07-07,15.26020227888475
2027-07-08,17.34466272843211
2027-07-09,15.581736248998537
2027-07-10,15.919948948295024
2027-07-11,16.610526840986726
2027-07-12,16.22272673465923
2027-07-13,16.694179815813996
2027-07-14,8.780006604689994
2027-07-15,8.33214832810638
2027-07-16,8.679426900451169
2027-07-17,9.315629323678552
2027-07-18,9.222651701834335
2027-07-19,7.937864127556965
2027-07-20,8.879449317650899
2027-07-21,10.33900959866892
2027-07-22,9.123103105292437
2027-07-23,11.23249923765968
2027-07-24,11.223487157350435
2027-07-25,11.8902671938204
2027-07-26,10.217366388133062
2027-07-27,13.396465721105272
2027-07-28,12.926549580145602
2027-07-29,13.156640071985713
2027-07-30,14.85943382417366
2027-07-31,14.797900245731428
2027-08-01,14.714609685344564
2027-08-02,14.443665230722573
2027-08-03,15.141202478898672
2027-08-04,15.41993431778192
2027-08-05,14.056302167617512
2027-08-06,15.689303955001304
2027-08-07,15.335235701778045
2027-08-08,16.58434156048524
2027-08-09,14.020424567116368
2027-08-10,15.884184411027682
2027-08-11,16.381349479478498
2027-08-12,21.902087137803093
2027-08-13,8.431993521905106
2027-08-14,8.493704052487587
2027-08-15,9.0794719360384
2027-08-16,10.251807092553936
2027-08-17,8.712845822263226
2027-08-18,9.784563619255303
2027-08-19,10.44044587948504
2027-08-20,10.96139346265479
2027-08-21,10.819129433419745
2027-08-22,10.28076317698531
2027-08-23,10.54495238425488
2027-08-24,12.137509927815184
2027-08-25,10.92150239229683
2027-08-26,11.569536273638226
2027-08-27,12.285268422311203
2027-08-28,12.427490042560706
